Empréstimo,ValorDoBem,Finalidade,Emprego,TempoEmprego,Negativos,Atrasos,TempoCliente,LC-Recente,LC-Atual,RDS
82582.0,342542.60000000003,Diversas,Geral,8.0,0.0,0.0,407.7,0.0,43.0,41.3%
37680.0,233000.56,Diversas,Geral,6.0,0.0,0.0,100.3,2.0,14.0,25.5%
58404.0,218578.54,Reforma,Geral,2.75,0.0,0.0,133.1,0.0,17.0,34.7%
33284.0,255630.54,Reforma,Outros,15.75,0.0,0.0,239.8,1.0,35.0,36.7%
66882.0,315629.66000000003,Diversas,Geral,7.0,,0.0,101.4,1.0,18.0,34.0%
81954.0,244420.74000000002,Diversas,Outros,21.5,,0.0,289.2,1.0,29.0,41.2%
86036.0,773551.56,Diversas,Outros,8.25,0.0,0.0,90.8,1.0,24.0,39.7%
33912.0,229461.78,Diversas,Autônomo,,0.0,1.0,181.3,1.0,20.0,52.6%
27004.0,316706.68,Reforma,Outros,0.0,0.0,1.0,176.5,0.0,32.0,33.4%
76930.0,385959.38,Diversas,Professional,11.75,0.0,1.0,111.4,0.0,18.0,26.1%
48356.0,406485.56,Reforma,Professional,10.75,0.0,0.0,177.0,2.0,31.0,29.1%
61230.0,385149.26,Reforma,Gerente,0.75,0.0,1.0,326.6,0.0,20.0,42.5%
53380.0,254905.2,Diversas,Professional,19.75,2.0,0.0,137.5,2.0,30.0,
56520.0,224233.68000000002,Diversas,Professional,10.5,0.0,0.0,192.6,1.0,42.0,36.4%
24178.0,103934.0,Diversas,Outros,3.5,0.0,7.0,124.9,0.0,20.0,
90746.0,390782.42000000004,Diversas,Outros,2.5,0.0,0.0,197.1,2.0,25.0,43.7%
64998.0,461382.18,Diversas,Geral,12.25,0.0,2.0,224.7,0.0,24.0,40.5%
157942.0,277302.82,Reforma,Outros,,0.0,0.0,346.6,0.0,7.0,22.2%
75360.0,158177.5,Diversas,Outros,23.25,0.0,0.0,137.3,0.0,11.0,21.0%
62800.0,284484.0,Diversas,Geral,2.75,0.0,0.0,157.2,1.0,24.0,
76616.0,453416.0,Diversas,Gerente,33.25,0.0,2.0,231.3,7.0,35.0,
70022.0,320280.0,Diversas,Gerente,5.5,0.0,1.0,66.8,2.0,28.0,
41448.0,248851.28,Diversas,Geral,13.75,0.0,0.0,250.2,3.0,36.0,42.9%
57462.0,259068.84,Diversas,Professional,10.75,3.0,1.0,174.4,2.0,65.0,
38622.0,267556.26,Diversas,Professional,8.75,0.0,0.0,175.0,0.0,11.0,37.8%
