Cliente,Empréstimo,ValorDoBem,Finalidade,Emprego,TempoEmprego,Negativos,Atrasos,TempoCliente,LC-Recente,LC-Atual,RDS
bom pagador,19468.0,309447.0,Reforma,Outros,0.5,0.0,1.0,185.6,0.0,33.0,39.2%
bom pagador,91688.0,449020.0,Diversas,Outros,15.25,0.0,0.0,234.5,1.0,41.0,
bom pagador,34226.0,164394.7,Reforma,Outros,1.25,0.0,0.0,250.5,0.0,10.0,37.2%
bom pagador,48356.0,270592.64,Diversas,Outros,2.25,1.0,0.0,230.4,3.0,26.0,29.0%
bom pagador,64684.0,78167.16,Diversas,Professional,3.75,0.0,0.0,93.6,0.0,18.0,21.0%
bom pagador,38622.0,333175.98000000004,Reforma,Outros,19.5,0.0,0.0,121.9,3.0,24.0,26.8%
bom pagador,31400.0,227392.52000000002,Diversas,Professional,14.75,0.0,0.0,209.7,3.0,29.0,37.9%
bom pagador,35168.0,148270.80000000002,Diversas,Outros,8.75,,1.0,152.9,5.0,30.0,37.0%
bom pagador,39564.0,118949.48000000001,Reforma,Outros,9.3,0.0,0.0,88.9,2.0,12.0,
bom pagador,49612.0,348976.46,Diversas,Geral,3.75,0.0,1.0,254.6,1.0,35.0,25.7%
bom pagador,88862.0,753568.6,Reforma,Professional,27.5,0.0,0.0,360.2,0.0,19.0,36.3%
bom pagador,48042.0,323617.82,Reforma,Outros,18.75,0.0,0.0,129.4,3.0,25.0,30.2%
mau pagador,56520.0,188400.0,Diversas,Outros,10.5,2.0,0.0,114.0,5.0,5.0,
bom pagador,42704.0,348178.9,Diversas,Outros,12.0,0.0,0.0,204.0,3.0,16.0,39.7%
bom pagador,53380.0,501677.80000000005,Diversas,Gerente,,0.0,0.0,231.4,0.0,18.0,38.0%
bom pagador,22294.0,565526.56,Diversas,Outros,8.0,0.0,0.0,224.2,0.0,18.0,31.7%
bom pagador,61230.0,434497.5,Diversas,Geral,12.5,0.0,2.0,220.3,0.0,26.0,
bom pagador,21038.0,182383.76,Reforma,Geral,21.5,0.0,0.0,195.4,0.0,19.0,19.5%
bom pagador,48984.0,290271.02,Reforma,Professional,6.0,0.0,0.0,129.7,0.0,13.0,26.5%
bom pagador,47728.0,359592.8,Reforma,Geral,3.25,0.0,0.0,139.6,0.0,20.0,34.4%
bom pagador,70964.0,830410.68,Reforma,Autônomo,5.0,0.0,0.0,247.0,2.0,51.0,38.7%
bom pagador,22922.0,620150.0,Diversas,Professional,2.0,0.0,0.0,70.4,2.0,21.0,
bom pagador,61858.0,418329.64,Diversas,Outros,9.25,0.0,0.0,343.4,1.0,9.0,40.1%
bom pagador,33284.0,216543.82,Diversas,Gerente,2.0,0.0,0.0,188.6,1.0,16.0,32.7%
bom pagador,59032.0,204668.34,Diversas,Comissionado,0.5,0.0,0.0,317.3,0.0,6.0,39.0%
bom pagador,89490.0,351444.5,Reforma,Outros,5.5,,,126.5,10.0,22.0,43.5%
bom pagador,65940.0,439185.52,Diversas,Professional,,0.0,0.0,210.2,0.0,19.0,32.2%
bom pagador,49298.0,292585.2,Diversas,Gerente,19.0,0.0,0.0,265.9,11.0,25.0,34.4%
bom pagador,58404.0,220220.76,Diversas,Outros,8.25,0.0,0.0,88.9,3.0,15.0,42.5%
bom pagador,82582.0,276709.36,Diversas,Outros,7.0,0.0,0.0,236.2,1.0,20.0,37.2%
bom pagador,46158.0,257282.18000000002,Diversas,Geral,2.5,0.0,0.0,108.3,1.0,19.0,25.2%
bom pagador,26690.0,87521.22,Reforma,Geral,21.25,0.0,0.0,192.1,0.0,15.0,39.4%
bom pagador,94200.0,112647.6884,Diversas,Outros,28.5,0.0,0.0,201.5,0.0,15.0,
bom pagador,30458.0,180571.98,Diversas,Outros,6.0,0.0,0.0,84.2,0.0,11.0,28.0%
bom pagador,78814.0,528198.24,Diversas,Outros,7.25,1.0,0.0,212.4,1.0,20.0,34.8%
bom pagador,47728.0,184738.76,Diversas,Outros,,0.0,0.0,102.2,0.0,15.0,39.1%
bom pagador,69080.0,288076.16000000003,Diversas,Geral,0.75,0.0,0.0,146.9,0.0,21.0,33.3%
